Rule_ID,Dataset,Column,Rule_Type,Valid_Condition,Action,Auto_Correct_Allowed,Severity,Reason,Rule_Source,Evidence
DQ-0011,Access_Control,Device_ID,Validity,Identifier should match DEV dash digits,Flag missing or malformed identifier values,False,High,Identifier format supports row-level audit and joins,Generated from datasheet-column-level.csv,Column ends with _ID; Unique_Count=4
DQ-0012,Access_Control,Direction,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=4; Sample_Values=OUT | Entry | Exit
DQ-0013,Access_Control,Employee_ID,Privacy,Potentially sensitive fields should be purpose-limited before analytical use,Flag field for privacy-aware handling in cleaned and trusted layers,False,High,"Privacy inventory detected identity, proxy, or sensitive attribute",Generated from privacy_sensitive_fields.csv,Potential_Sensitivity=True
DQ-0014,Access_Control,Employee_ID,Validity,Identifier should match OP followed by four digits unless explicitly external,Flag missing or malformed identifier values,False,High,Identifier format supports row-level audit and joins,Generated from datasheet-column-level.csv,Column ends with _ID; Unique_Count=9
DQ-0015,Access_Control,Employee_Name,Privacy,Potentially sensitive fields should be purpose-limited before analytical use,Flag field for privacy-aware handling in cleaned and trusted layers,False,High,"Privacy inventory detected identity, proxy, or sensitive attribute",Generated from privacy_sensitive_fields.csv,Potential_Sensitivity=True
DQ-0016,Access_Control,Employee_Name,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=8; Sample_Values=Aisha Naidoo | Thabo Dlamini | Mia Jacobs
DQ-0017,Access_Control,Entire row,Uniqueness,Exact duplicate rows should not appear in the trusted layer,Flag duplicate rows and exclude later duplicates only after logging,False,High,Exact duplicate rows can inflate operational counts,Generated from datasheet_Highlevel_inventory.csv,Duplicate_Rows_Detected=1
DQ-0018,Access_Control,Event_Time,Validity,Date/time values should parse to a single ISO date or datetime standard,Standardise parseable values and flag ambiguous or unparseable values,True,High,Profile shows date/time-like field requiring consistent parsing,Generated from datasheet-column-level.csv,Sample_Values=01/07/2026 10:00 | 07/01/2026 02:00 PM | 2026/07/01 18:00
DQ-0019,Access_Control,Home_Zone,Privacy,Potentially sensitive fields should be purpose-limited before analytical use,Flag field for privacy-aware handling in cleaned and trusted layers,False,High,"Privacy inventory detected identity, proxy, or sensitive attribute",Generated from privacy_sensitive_fields.csv,Potential_Sensitivity=True
DQ-0020,Access_Control,Home_Zone,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=4; Sample_Values=Zone-West | Zone-East | Zone-South
DQ-0021,Access_Control,"Home_Zone, Contractor_Group",Data dictionary guidance,Do not treat as performance drivers without justification,"Use this guidance to decide whether to auto-correct, flag, exclude, or reconcile",False,High,Proxy attributes,Generated from data_dictionary.csv,Sensitivity=Potentially sensitive
DQ-0022,Access_Control,Reason,Completeness,Missing values must be explained by a valid business reason,Flag missing values for review before trusted use,False,Medium,Profiling detected missing values in this column,Generated from missing-value_profile.csv,Missing_Count=15; Missing_Pct=32.61
DQ-0023,Access_Control,Reason,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=3; Sample_Values=Anti-passback | Anti-passback | Expired training
DQ-0024,All datasets,Comment / Description,Data dictionary guidance,"Review for identifiers, allegations and unsupported claims","Use this guidance to decide whether to auto-correct, flag, exclude, or reconcile",False,High,Human-entered context,Generated from data_dictionary.csv,Sensitivity=Potentially sensitive
DQ-0025,All datasets,Date/time fields,Data dictionary guidance,One consistent timezone and format,"Use this guidance to decide whether to auto-correct, flag, exclude, or reconcile",False,Medium,Recorded event timestamps,Generated from data_dictionary.csv,Sensitivity=Internal
DQ-0026,All datasets,Record identifier,Data dictionary guidance,Should be unique and nonblank,"Use this guidance to decide whether to auto-correct, flag, exclude, or reconcile",False,Medium,Unique event or record key,Generated from data_dictionary.csv,Sensitivity=Internal
DQ-0027,Delays_Downtime,Approved_By,Completeness,Missing values must be explained by a valid business reason,Flag missing values for review before trusted use,False,Medium,Profiling detected missing values in this column,Generated from missing-value_profile.csv,Missing_Count=15; Missing_Pct=32.61
DQ-0028,Delays_Downtime,Approved_By,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=2; Sample_Values=SUP01 | SUP01 | SUP01
DQ-0029,Delays_Downtime,Cause_Code,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=4; Sample_Values=UNK | ENV | ENV
DQ-0030,Delays_Downtime,Comment,Completeness,Missing values must be explained by a valid business reason,Flag missing values for review before trusted use,False,Medium,Profiling detected missing values in this column,Generated from missing-value_profile.csv,Missing_Count=10; Missing_Pct=21.74
DQ-0031,Delays_Downtime,Delay_Category,Data dictionary guidance,Use controlled categories,"Use this guidance to decide whether to auto-correct, flag, exclude, or reconcile",False,Medium,Reason grouping,Generated from data_dictionary.csv,Sensitivity=Internal
DQ-0032,Delays_Downtime,Delay_Category,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=7; Sample_Values=Weather | mechanical | Weather
DQ-0033,Delays_Downtime,Delay_ID,Completeness,Primary identifier must be populated,Flag missing primary identifiers as exceptions,False,Critical,Blank primary identifiers break traceability,Generated from datasheet-column-level.csv,Missing_Count=0
DQ-0034,Delays_Downtime,Delay_ID,Uniqueness,Identifier should be unique at the dataset grain,Flag duplicate identifiers and retain raw rows for review,False,Critical,Primary identifier duplication breaks trusted row grain,Generated from datasheet-column-level.csv,Row_Count=46; Unique_Count=45; Duplicate_Value_Count=2
DQ-0035,Delays_Downtime,Delay_ID,Validity,Identifier should match DLY followed by four digits,Flag missing or malformed identifier values,False,High,Identifier format supports row-level audit and joins,Generated from datasheet-column-level.csv,Column ends with _ID; Unique_Count=45
DQ-0036,Delays_Downtime,Duration,Completeness,Missing values must be explained by a valid business reason,Flag missing values for review before trusted use,False,Low,Profiling detected missing values in this column,Generated from missing-value_profile.csv,Missing_Count=1; Missing_Pct=2.17
DQ-0037,Delays_Downtime,Duration,Plausibility,Numeric value should not be negative unless the data dictionary permits it,Flag negative values for review,False,High,Numeric profile detected values below zero,Generated from Delays_Downtime_numeric_profile.csv,min=-45.0
DQ-0038,Delays_Downtime,Duration,Plausibility,Extreme numeric outliers should be reviewed before trusted use,Flag statistical outliers for review,False,High,Profile max is more than ten times the upper quartile,Generated from Delays_Downtime_numeric_profile.csv,75%=90.0; max=14400.0
DQ-0039,Delays_Downtime,Duration / Duration_Unit,Data dictionary guidance,Must align with start and end timestamps,"Use this guidance to decide whether to auto-correct, flag, exclude, or reconcile",False,Medium,Recorded delay magnitude,Generated from data_dictionary.csv,Sensitivity=Internal
DQ-0040,Delays_Downtime,Duration_Unit,Consistency,Unit values must be canonical before numeric comparison,Standardise supported units and log each conversion,True,High,Unit columns control whether numeric values are comparable,Generated from datasheet-column-level.csv,Unique_Count=2; Sample_Values=minutes | minutes | minutes
DQ-0041,Delays_Downtime,End_Time,Validity,Date/time values should parse to a single ISO date or datetime standard,Standardise parseable values and flag ambiguous or unparseable values,True,High,Profile shows date/time-like field requiring consistent parsing,Generated from datasheet-column-level.csv,Sample_Values=07/01/2026 12:45 PM | 2026/07/01 18:30 | 2026-07-02 00:45:00
DQ-0042,Delays_Downtime,Entire row,Uniqueness,Exact duplicate rows should not appear in the trusted layer,Flag duplicate rows and exclude later duplicates only after logging,False,High,Exact duplicate rows can inflate operational counts,Generated from datasheet_Highlevel_inventory.csv,Duplicate_Rows_Detected=1
DQ-0043,Delays_Downtime,Equipment_Name,Privacy,Potentially sensitive fields should be purpose-limited before analytical use,Flag field for privacy-aware handling in cleaned and trusted layers,False,High,"Privacy inventory detected identity, proxy, or sensitive attribute",Generated from privacy_sensitive_fields.csv,Potential_Sensitivity=True
DQ-0044,Delays_Downtime,Operator_ID,Privacy,Potentially sensitive fields should be purpose-limited before analytical use,Flag field for privacy-aware handling in cleaned and trusted layers,False,High,"Privacy inventory detected identity, proxy, or sensitive attribute",Generated from privacy_sensitive_fields.csv,Potential_Sensitivity=True
DQ-0045,Delays_Downtime,Operator_ID,Validity,Identifier should match OP followed by four digits,Flag missing or malformed identifier values,False,High,Identifier format supports row-level audit and joins,Generated from datasheet-column-level.csv,Column ends with _ID; Unique_Count=8
DQ-0046,Delays_Downtime,Start_Time,Validity,Date/time values should parse to a single ISO date or datetime standard,Standardise parseable values and flag ambiguous or unparseable values,True,High,Profile shows date/time-like field requiring consistent parsing,Generated from datasheet-column-level.csv,Sample_Values=01/07/2026 12:00 | 07/01/2026 06:00 PM | 2026/07/02 00:00
DQ-0047,Delays_Downtime,Start_Time|End_Time,Temporal integrity,End_Time must be after Start_Time,Flag temporal contradictions for review,False,Critical,"Timestamp ordering affects duration, validity, or workflow status",Generated from recognised timestamp column pairs,"Detected columns: Start_Time, End_Time"
DQ-0048,Environmental_Readings,Calibration_Due,Validity,Date/time values should parse to a single ISO date or datetime standard,Standardise parseable values and flag ambiguous or unparseable values,True,High,Profile shows date/time-like field requiring consistent parsing,Generated from datasheet-column-level.csv,Sample_Values=02/08/2026 | 08/03/2026 | 2026/08/04
DQ-0049,Environmental_Readings,Comment,Completeness,Missing values must be explained by a valid business reason,Flag missing values for review before trusted use,False,Low,Profiling detected missing values in this column,Generated from missing-value_profile.csv,Missing_Count=8; Missing_Pct=17.39
DQ-0050,Environmental_Readings,Entire row,Uniqueness,Exact duplicate rows should not appear in the trusted layer,Flag duplicate rows and exclude later duplicates only after logging,False,High,Exact duplicate rows can inflate operational counts,Generated from datasheet_Highlevel_inventory.csv,Duplicate_Rows_Detected=1
DQ-0051,Environmental_Readings,Location,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=3; Sample_Values=North Pit | North Pit | South Pit
DQ-0052,Environmental_Readings,Quality_Flag,Completeness,Missing values must be explained by a valid business reason,Flag missing values for review before trusted use,False,Medium,Profiling detected missing values in this column,Generated from missing-value_profile.csv,Missing_Count=15; Missing_Pct=32.61
DQ-0053,Environmental_Readings,Quality_Flag,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=3; Sample_Values=Good | Suspect | Estimated
DQ-0054,Environmental_Readings,Reading_ID,Completeness,Primary identifier must be populated,Flag missing primary identifiers as exceptions,False,Critical,Blank primary identifiers break traceability,Generated from datasheet-column-level.csv,Missing_Count=0
DQ-0055,Environmental_Readings,Reading_ID,Uniqueness,Identifier should be unique at the dataset grain,Flag duplicate identifiers and retain raw rows for review,False,Critical,Primary identifier duplication breaks trusted row grain,Generated from datasheet-column-level.csv,Row_Count=46; Unique_Count=45; Duplicate_Value_Count=2
DQ-0056,Environmental_Readings,Reading_ID,Validity,Identifier should match ENV followed by four digits,Flag missing or malformed identifier values,False,High,Identifier format supports row-level audit and joins,Generated from datasheet-column-level.csv,Column ends with _ID; Unique_Count=45
DQ-0057,Environmental_Readings,Reading_Time,Validity,Date/time values should parse to a single ISO date or datetime standard,Standardise parseable values and flag ambiguous or unparseable values,True,High,Profile shows date/time-like field requiring consistent parsing,Generated from datasheet-column-level.csv,Sample_Values=01/07/2026 09:00 | 07/01/2026 12:00 PM | 2026/07/01 15:00
DQ-0058,Environmental_Readings,Reading_Time|Calibration_Due,Temporal integrity,Calibration_Due should not be before Reading_Time,Flag temporal contradictions for review,False,Critical,"Timestamp ordering affects duration, validity, or workflow status",Generated from recognised timestamp column pairs,"Detected columns: Reading_Time, Calibration_Due"
DQ-0059,Environmental_Readings,Reading_Type,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=4; Sample_Values=Rainfall | Rainfall | Temperature
DQ-0060,Environmental_Readings,Sensor_ID,Validity,Identifier should match SNS dash two digits,Flag missing or malformed identifier values,False,High,Identifier format supports row-level audit and joins,Generated from datasheet-column-level.csv,Column ends with _ID; Unique_Count=5
DQ-0061,Environmental_Readings,Unit,Consistency,Unit values must be canonical before numeric comparison,Standardise supported units and log each conversion,True,High,Unit columns control whether numeric values are comparable,Generated from datasheet-column-level.csv,Unique_Count=5; Sample_Values=mm | mm | C
DQ-0062,Environmental_Readings,Value,Plausibility,Numeric value should not be negative unless the data dictionary permits it,Flag negative values for review,False,High,Numeric profile detected values below zero,Generated from Environmental_Readings_numeric_profile.csv,min=-25.0
DQ-0063,Environmental_Readings,Value,Plausibility,Extreme numeric outliers should be reviewed before trusted use,Flag statistical outliers for review,False,High,Profile max is more than ten times the upper quartile,Generated from Environmental_Readings_numeric_profile.csv,75%=32.075; max=9999.0
DQ-0064,Environmental_Readings,Value / Unit,Data dictionary guidance,Interpret only with matching unit and quality flag,"Use this guidance to decide whether to auto-correct, flag, exclude, or reconcile",False,Medium,Environmental measurement,Generated from data_dictionary.csv,Sensitivity=Internal
DQ-0065,Equipment_Events,Comment,Completeness,Missing values must be explained by a valid business reason,Flag missing values for review before trusted use,False,Medium,Profiling detected missing values in this column,Generated from missing-value_profile.csv,Missing_Count=15; Missing_Pct=32.61
DQ-0066,Equipment_Events,Entire row,Uniqueness,Exact duplicate rows should not appear in the trusted layer,Flag duplicate rows and exclude later duplicates only after logging,False,High,Exact duplicate rows can inflate operational counts,Generated from datasheet_Highlevel_inventory.csv,Duplicate_Rows_Detected=1
DQ-0067,Equipment_Events,Equipment_Name,Completeness,Missing values must be explained by a valid business reason,Flag missing values for review before trusted use,False,Low,Profiling detected missing values in this column,Generated from missing-value_profile.csv,Missing_Count=1; Missing_Pct=2.17
DQ-0068,Equipment_Events,Equipment_Name,Data dictionary guidance,"Canonical examples: TRK001, EXC001","Use this guidance to decide whether to auto-correct, flag, exclude, or reconcile",False,Medium,Asset identifier or alias,Generated from data_dictionary.csv,Sensitivity=Internal
DQ-0069,Equipment_Events,Equipment_Name,Privacy,Potentially sensitive fields should be purpose-limited before analytical use,Flag field for privacy-aware handling in cleaned and trusted layers,False,High,"Privacy inventory detected identity, proxy, or sensitive attribute",Generated from privacy_sensitive_fields.csv,Potential_Sensitivity=True
DQ-0070,Equipment_Events,Event_ID,Completeness,Primary identifier must be populated,Flag missing primary identifiers as exceptions,False,Critical,Blank primary identifiers break traceability,Generated from datasheet-column-level.csv,Missing_Count=0
DQ-0071,Equipment_Events,Event_ID,Uniqueness,Identifier should be unique at the dataset grain,Flag duplicate identifiers and retain raw rows for review,False,Critical,Primary identifier duplication breaks trusted row grain,Generated from datasheet-column-level.csv,Row_Count=46; Unique_Count=45; Duplicate_Value_Count=2
DQ-0072,Equipment_Events,Event_ID,Validity,Identifier should match EVT followed by four digits,Flag missing or malformed identifier values,False,High,Identifier format supports row-level audit and joins,Generated from datasheet-column-level.csv,Column ends with _ID; Unique_Count=45
DQ-0073,Equipment_Events,Event_Time,Validity,Date/time values should parse to a single ISO date or datetime standard,Standardise parseable values and flag ambiguous or unparseable values,True,High,Profile shows date/time-like field requiring consistent parsing,Generated from datasheet-column-level.csv,Sample_Values=01/07/2026 11:00 | 07/01/2026 04:00 PM | 2026/07/01 21:00
DQ-0074,Equipment_Events,Event_Type,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=7; Sample_Values=Idle | start | Inspection
DQ-0075,Equipment_Events,Location,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=3; Sample_Values=Workshop | Workshop | South Pit
DQ-0076,Equipment_Events,Meter_Reading,Plausibility,Extreme numeric outliers should be reviewed before trusted use,Flag statistical outliers for review,False,High,Profile max is more than ten times the upper quartile,Generated from Equipment_Events_numeric_profile.csv,75%=1253.675; max=999999.0
DQ-0077,Equipment_Events,Meter_Reading / Meter_Unit,Data dictionary guidance,Units must be normalised before comparison,"Use this guidance to decide whether to auto-correct, flag, exclude, or reconcile",False,Medium,Equipment meter value and unit,Generated from data_dictionary.csv,Sensitivity=Internal
DQ-0078,Equipment_Events,Meter_Unit,Consistency,Unit values must be canonical before numeric comparison,Standardise supported units and log each conversion,True,High,Unit columns control whether numeric values are comparable,Generated from datasheet-column-level.csv,Unique_Count=2; Sample_Values=hours | hours | hours
DQ-0079,Equipment_Events,Operator_ID,Privacy,Potentially sensitive fields should be purpose-limited before analytical use,Flag field for privacy-aware handling in cleaned and trusted layers,False,High,"Privacy inventory detected identity, proxy, or sensitive attribute",Generated from privacy_sensitive_fields.csv,Potential_Sensitivity=True
DQ-0080,Equipment_Events,Operator_ID,Validity,Identifier should match OP followed by four digits,Flag missing or malformed identifier values,False,High,Identifier format supports row-level audit and joins,Generated from datasheet-column-level.csv,Column ends with _ID; Unique_Count=8
DQ-0081,Equipment_Events,Source_System,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=1; Sample_Values=Telemetry-A | Telemetry-A | Telemetry-A
DQ-0082,Equipment_Events,Status,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=4; Sample_Values=Complete | Open | Complete
DQ-0083,Maintenance_Notifications,Actual_End,Completeness,Missing values must be explained by a valid business reason,Flag missing values for review before trusted use,False,Low,Profiling detected missing values in this column,Generated from missing-value_profile.csv,Missing_Count=1; Missing_Pct=2.17
DQ-0084,Maintenance_Notifications,Actual_End,Validity,Date/time values should parse to a single ISO date or datetime standard,Standardise parseable values and flag ambiguous or unparseable values,True,High,Profile shows date/time-like field requiring consistent parsing,Generated from datasheet-column-level.csv,Sample_Values=2026-07-02 15:00:00 | 03/07/2026 06:00 | 07/03/2026 02:00 AM
DQ-0085,Maintenance_Notifications,Actual_Start,Validity,Date/time values should parse to a single ISO date or datetime standard,Standardise parseable values and flag ambiguous or unparseable values,True,High,Profile shows date/time-like field requiring consistent parsing,Generated from datasheet-column-level.csv,Sample_Values=2026/07/02 13:00 | 2026-07-03 04:00:00 | 03/07/2026 01:00
DQ-0086,Maintenance_Notifications,Actual_Start|Actual_End,Temporal integrity,Actual_End must be after Actual_Start when both are populated,Flag temporal contradictions for review,False,Critical,"Timestamp ordering affects duration, validity, or workflow status",Generated from recognised timestamp column pairs,"Detected columns: Actual_Start, Actual_End"
DQ-0087,Maintenance_Notifications,Downtime_Hours,Data dictionary guidance,Should reconcile with actual timestamps,"Use this guidance to decide whether to auto-correct, flag, exclude, or reconcile",False,Medium,Recorded outage duration,Generated from data_dictionary.csv,Sensitivity=Internal
DQ-0088,Maintenance_Notifications,Downtime_Hours,Plausibility,Numeric value should not be negative unless the data dictionary permits it,Flag negative values for review,False,High,Numeric profile detected values below zero,Generated from Maintenance_Notifications_numeric_profile.csv,min=-4.0
DQ-0089,Maintenance_Notifications,Downtime_Hours,Plausibility,Hour values should be non-negative and plausible for the operating window,Flag impossible or extreme hour values,False,High,Hour-based measures directly affect availability and downtime analysis,Generated from Maintenance_Notifications_numeric_profile.csv,min=-4.0; max=18.0
DQ-0090,Maintenance_Notifications,Downtime_Hours,Validity,Date/time values should parse to a single ISO date or datetime standard,Standardise parseable values and flag ambiguous or unparseable values,True,High,Profile shows date/time-like field requiring consistent parsing,Generated from datasheet-column-level.csv,Sample_Values=2 | 2 | 1
DQ-0091,Maintenance_Notifications,Entire row,Uniqueness,Exact duplicate rows should not appear in the trusted layer,Flag duplicate rows and exclude later duplicates only after logging,False,High,Exact duplicate rows can inflate operational counts,Generated from datasheet_Highlevel_inventory.csv,Duplicate_Rows_Detected=1
DQ-0092,Maintenance_Notifications,Equipment_Name,Privacy,Potentially sensitive fields should be purpose-limited before analytical use,Flag field for privacy-aware handling in cleaned and trusted layers,False,High,"Privacy inventory detected identity, proxy, or sensitive attribute",Generated from privacy_sensitive_fields.csv,Potential_Sensitivity=True
DQ-0093,Maintenance_Notifications,Fault_Code,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=4; Sample_Values=ELC03 | ELC03 | ENG01
DQ-0094,Maintenance_Notifications,Notification_ID,Completeness,Primary identifier must be populated,Flag missing primary identifiers as exceptions,False,Critical,Blank primary identifiers break traceability,Generated from datasheet-column-level.csv,Missing_Count=0
DQ-0095,Maintenance_Notifications,Notification_ID,Uniqueness,Identifier should be unique at the dataset grain,Flag duplicate identifiers and retain raw rows for review,False,Critical,Primary identifier duplication breaks trusted row grain,Generated from datasheet-column-level.csv,Row_Count=46; Unique_Count=45; Duplicate_Value_Count=2
DQ-0096,Maintenance_Notifications,Notification_ID,Validity,Identifier should match MNT followed by four digits,Flag missing or malformed identifier values,False,High,Identifier format supports row-level audit and joins,Generated from datasheet-column-level.csv,Column ends with _ID; Unique_Count=45
DQ-0097,Maintenance_Notifications,Notification_Type,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=4; Sample_Values=break down | Planned | break down
DQ-0098,Maintenance_Notifications,Planned_Start,Validity,Date/time values should parse to a single ISO date or datetime standard,Standardise parseable values and flag ambiguous or unparseable values,True,High,Profile shows date/time-like field requiring consistent parsing,Generated from datasheet-column-level.csv,Sample_Values=07/02/2026 01:00 PM | 2026/07/02 20:00 | 2026-07-03 03:00:00
DQ-0099,Maintenance_Notifications,Priority,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=4; Sample_Values=P1 | P2 | P3
DQ-0100,Maintenance_Notifications,Raised_Date,Validity,Date/time values should parse to a single ISO date or datetime standard,Standardise parseable values and flag ambiguous or unparseable values,True,High,Profile shows date/time-like field requiring consistent parsing,Generated from datasheet-column-level.csv,Sample_Values=01/07/2026 13:00 | 07/01/2026 08:00 PM | 2026/07/02 03:00
DQ-0101,Maintenance_Notifications,Reported_By,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=3; Sample_Values=OP1001 | SUP01 | SYSTEM
DQ-0102,Maintenance_Notifications,Status,Validity,Low-cardinality categorical values should use a controlled vocabulary,Standardise known casing or spelling variants and flag unknown categories,True,Medium,Profile shows a small set of repeated categorical values,Generated from datasheet-column-level.csv,Unique_Count=3; Sample_Values=In Progress | Open | In Progress
DQ-0103,Maintenance_Notifications,Work_Order_ID,Completeness,Primary identifier must be populated,Flag missing primary identifiers as exceptions,False,Critical,Blank primary identifiers break traceability,Generated from datasheet-column-level.csv,Missing_Count=0
DQ-0104,Maintenance_Notifications,Work_Order_ID,Uniqueness,Identifier should be unique at the dataset grain,Flag duplicate identifiers and retain raw rows for review,False,Critical,Primary identifier duplication breaks trusted row grain,Generated from datasheet-column-level.csv,Row_Count=46; Unique_Count=45; Duplicate_Value_Count=2
DQ-0105,Maintenance_Notifications,Work_Order_ID,Validity,Identifier should match WO dash five digits,Flag missing or malformed identifier values,False,High,Identifier format supports row-level audit and joins,Generated from datasheet-column-level.csv,Column ends with _ID; Unique_Count=45
DQ-0106,Operator_Activities,Activity_End,Validity,Date/time values should parse to a single ISO date or datetime standard,Standardise parseable values and flag ambiguous or unparseable values,True,High,Profile shows date/time-like field requiring consistent parsing,Generated from datasheet-column-level.csv,Sample_Values=2026/07/01 15:00 | 2026-07-01 19:00:00 | 01/07/2026 23:00
DQ-0107,Operator_Activities,Activity_ID,Completeness,Primary identifier must be populated,Flag missing primary identifiers as exceptions,False,Critical,Blank primary identifiers break traceability,Generated from datasheet-column-level.csv,Missing_Count=0
