Exception_ID,Dataset,Source_Row_Index,Source_Row_Number,Record_ID,Column,Issue_Type,Value,Rule_ID,Severity,Recommended_Action,Status
EXC-00067,Shift_Performance,14,16,SHF0015,Actual_Hours,Unparseable date/time,11,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00068,Shift_Performance,15,17,SHF0016,Actual_Hours,Unparseable date/time,10,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00069,Shift_Performance,16,18,SHF0017,Actual_Hours,Unparseable date/time,11,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00070,Shift_Performance,17,19,SHF0018,Actual_Hours,Unparseable date/time,8,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00071,Shift_Performance,18,20,SHF0019,Actual_Hours,Unparseable date/time,9,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00072,Shift_Performance,19,21,SHF0020,Actual_Hours,Unparseable date/time,11,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00073,Shift_Performance,20,22,SHF0021,Actual_Hours,Unparseable date/time,11,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00074,Shift_Performance,21,23,SHF0022,Actual_Hours,Unparseable date/time,8,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00075,Shift_Performance,22,24,SHF0023,Actual_Hours,Unparseable date/time,9,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00076,Shift_Performance,23,25,SHF0024,Actual_Hours,Unparseable date/time,9,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00077,Shift_Performance,24,26,SHF0025,Actual_Hours,Unparseable date/time,10,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00078,Shift_Performance,25,27,SHF0026,Actual_Hours,Unparseable date/time,11,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00079,Shift_Performance,26,28,SHF0027,Actual_Hours,Unparseable date/time,12,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00080,Shift_Performance,27,29,SHF0028,Actual_Hours,Unparseable date/time,8,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00081,Shift_Performance,28,30,SHF0029,Actual_Hours,Unparseable date/time,12,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00082,Shift_Performance,29,31,SHF0030,Actual_Hours,Unparseable date/time,12,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00083,Shift_Performance,30,32,SHF0031,Actual_Hours,Unparseable date/time,12,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00084,Shift_Performance,31,33,SHF0032,Actual_Hours,Unparseable date/time,10,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00085,Shift_Performance,32,34,SHF0033,Actual_Hours,Unparseable date/time,12,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00086,Shift_Performance,33,35,SHF0034,Actual_Hours,Unparseable date/time,8,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00087,Shift_Performance,34,36,SHF0035,Actual_Hours,Unparseable date/time,8,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00088,Shift_Performance,35,37,SHF0036,Actual_Hours,Unparseable date/time,11,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00089,Shift_Performance,36,38,SHF0037,Actual_Hours,Unparseable date/time,10,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00090,Shift_Performance,37,39,SHF0038,Actual_Hours,Unparseable date/time,11,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00091,Shift_Performance,38,40,SHF0039,Actual_Hours,Unparseable date/time,8,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00092,Shift_Performance,39,41,SHF0040,Actual_Hours,Unparseable date/time,10,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00093,Shift_Performance,40,42,SHF0041,Actual_Hours,Unparseable date/time,12,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00094,Shift_Performance,41,43,SHF0042,Actual_Hours,Unparseable date/time,10,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00095,Shift_Performance,42,44,SHF0043,Actual_Hours,Unparseable date/time,9,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00096,Shift_Performance,43,45,SHF0044,Actual_Hours,Unparseable date/time,9,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00097,Shift_Performance,44,46,SHF0045,Actual_Hours,Unparseable date/time,9,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00098,Shift_Performance,45,47,SHF0008,Actual_Hours,Unparseable date/time,10,DQ-0158,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00099,Shift_Performance,3,5,SHF0004,Supervisor_Comment,Missing value,,DQ-0175,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00100,Shift_Performance,7,9,SHF0008,Supervisor_Comment,Missing value,,DQ-0175,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00101,Shift_Performance,10,12,SHF0011,Supervisor_Comment,Missing value,,DQ-0175,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00102,Shift_Performance,14,16,SHF0015,Supervisor_Comment,Missing value,,DQ-0175,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00103,Shift_Performance,30,32,SHF0031,Supervisor_Comment,Missing value,,DQ-0175,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00104,Shift_Performance,32,34,SHF0033,Supervisor_Comment,Missing value,,DQ-0175,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00105,Shift_Performance,39,41,SHF0040,Supervisor_Comment,Missing value,,DQ-0175,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00106,Shift_Performance,45,47,SHF0008,Supervisor_Comment,Missing value,,DQ-0175,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00107,Shift_Performance,13,15,SHF0014,Loads,Negative numeric value,-3,DQ-0166,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00108,Shift_Performance,32,34,SHF0033,Availability_Pct,Percentage outside expected 0 to 1 range,1.35,DQ-0159,High,Review source evidence before correcting,REVIEW_REQUIRED
EXC-00109,Safety_Observations,3,5,SAF0004,Description,Missing value,,DQ-0140,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00110,Safety_Observations,6,8,SAF0007,Description,Missing value,,DQ-0140,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00111,Safety_Observations,9,11,SAF0010,Description,Missing value,,DQ-0140,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00112,Safety_Observations,10,12,SAF0011,Description,Missing value,,DQ-0140,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00113,Safety_Observations,17,19,SAF0018,Description,Missing value,,DQ-0140,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00114,Safety_Observations,23,25,SAF0024,Description,Missing value,,DQ-0140,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00115,Safety_Observations,25,27,SAF0026,Description,Missing value,,DQ-0140,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00116,Safety_Observations,28,30,SAF0029,Description,Missing value,,DQ-0140,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00117,Safety_Observations,37,39,SAF0038,Description,Missing value,,DQ-0140,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00118,Safety_Observations,45,47,SAF0004,Description,Missing value,,DQ-0140,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00119,Safety_Observations,13,15,SAF0014,Immediate_Action,Missing value,,DQ-0144,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00120,Safety_Observations,20,22,SAF0021,Immediate_Action,Missing value,,DQ-0144,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00121,Safety_Observations,23,25,SAF0024,Immediate_Action,Missing value,,DQ-0144,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00122,Safety_Observations,25,27,SAF0026,Immediate_Action,Missing value,,DQ-0144,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00123,Safety_Observations,26,28,SAF0027,Immediate_Action,Missing value,,DQ-0144,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00124,Safety_Observations,29,31,SAF0030,Immediate_Action,Missing value,,DQ-0144,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00125,Safety_Observations,0,2,SAF0001,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00126,Safety_Observations,1,3,SAF0002,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00127,Safety_Observations,2,4,SAF0003,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00128,Safety_Observations,3,5,SAF0004,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00129,Safety_Observations,9,11,SAF0010,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00130,Safety_Observations,11,13,SAF0012,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00131,Safety_Observations,12,14,SAF0013,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00132,Safety_Observations,15,17,SAF0016,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00133,Safety_Observations,16,18,SAF0017,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00134,Safety_Observations,19,21,SAF0020,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00135,Safety_Observations,20,22,SAF0021,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00136,Safety_Observations,21,23,SAF0022,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00137,Safety_Observations,22,24,SAF0023,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00138,Safety_Observations,23,25,SAF0024,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00139,Safety_Observations,24,26,SAF0025,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00140,Safety_Observations,25,27,SAF0026,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00141,Safety_Observations,26,28,SAF0027,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00142,Safety_Observations,29,31,SAF0030,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00143,Safety_Observations,30,32,SAF0031,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00144,Safety_Observations,31,33,SAF0032,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00145,Safety_Observations,32,34,SAF0033,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00146,Safety_Observations,33,35,SAF0034,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00147,Safety_Observations,34,36,SAF0035,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00148,Safety_Observations,35,37,SAF0036,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00149,Safety_Observations,36,38,SAF0037,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00150,Safety_Observations,38,40,SAF0039,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00151,Safety_Observations,39,41,SAF0040,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00152,Safety_Observations,40,42,SAF0041,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00153,Safety_Observations,41,43,SAF0042,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00154,Safety_Observations,42,44,SAF0043,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00155,Safety_Observations,44,46,SAF0045,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00156,Safety_Observations,45,47,SAF0004,Closed_Date,Missing value,,DQ-0138,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00157,Safety_Observations,3,5,SAF0004,Attachment_Name,Missing value,,DQ-0134,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00158,Safety_Observations,5,7,SAF0006,Attachment_Name,Missing value,,DQ-0134,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00159,Safety_Observations,8,10,SAF0009,Attachment_Name,Missing value,,DQ-0134,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00160,Safety_Observations,9,11,SAF0010,Attachment_Name,Missing value,,DQ-0134,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00161,Safety_Observations,17,19,SAF0018,Attachment_Name,Missing value,,DQ-0134,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00162,Safety_Observations,19,21,SAF0020,Attachment_Name,Missing value,,DQ-0134,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00163,Safety_Observations,22,24,SAF0023,Attachment_Name,Missing value,,DQ-0134,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00164,Safety_Observations,27,29,SAF0028,Attachment_Name,Missing value,,DQ-0134,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00165,Safety_Observations,30,32,SAF0031,Attachment_Name,Missing value,,DQ-0134,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00166,Safety_Observations,34,36,SAF0035,Attachment_Name,Missing value,,DQ-0134,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00167,Safety_Observations,36,38,SAF0037,Attachment_Name,Missing value,,DQ-0134,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00168,Safety_Observations,39,41,SAF0040,Attachment_Name,Missing value,,DQ-0134,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00169,Safety_Observations,41,43,SAF0042,Attachment_Name,Missing value,,DQ-0134,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00170,Safety_Observations,43,45,SAF0044,Attachment_Name,Missing value,,DQ-0134,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
EXC-00171,Safety_Observations,45,47,SAF0004,Attachment_Name,Missing value,,DQ-0134,Medium,Confirm whether missingness is valid before trusted analysis,REVIEW_REQUIRED
