Reconciliation_ID,Dataset,Source_Row_Index,Source_Row_Number,Record_ID,Column,Issue_Type,Current_Value,Related_Dataset,Related_Record_ID,Related_Column,Related_Value,Check_Type,Severity,Recommended_Action,Status,Evidence
REC-00023,Environmental_Readings,21,23,ENV0022,Equipment_Nearby,Equipment reference not found,Excavator 2,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,Excavator 2 is absent from equipment reference datasets
REC-00024,Environmental_Readings,22,24,ENV0023,Equipment_Nearby,Equipment reference not found,DRL001,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,DRL001 is absent from equipment reference datasets
REC-00025,Environmental_Readings,23,25,ENV0024,Equipment_Nearby,Equipment reference not found,truck01,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,truck01 is absent from equipment reference datasets
REC-00026,Environmental_Readings,24,26,ENV0025,Equipment_Nearby,Equipment reference not found,TRK002,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,TRK002 is absent from equipment reference datasets
REC-00027,Environmental_Readings,26,28,ENV0027,Equipment_Nearby,Equipment reference not found,EX 001,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,EX 001 is absent from equipment reference datasets
REC-00028,Environmental_Readings,27,29,ENV0028,Equipment_Nearby,Equipment reference not found,Excavator 2,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,Excavator 2 is absent from equipment reference datasets
REC-00029,Environmental_Readings,28,30,ENV0029,Equipment_Nearby,Equipment reference not found,DRILL-1,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,DRILL-1 is absent from equipment reference datasets
REC-00030,Environmental_Readings,29,31,ENV0030,Equipment_Nearby,Equipment reference not found,TRK001,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,TRK001 is absent from equipment reference datasets
REC-00031,Environmental_Readings,30,32,ENV0031,Equipment_Nearby,Equipment reference not found,Truck 2,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,Truck 2 is absent from equipment reference datasets
REC-00032,Environmental_Readings,31,33,ENV0032,Equipment_Nearby,Equipment reference not found,TRK003,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,TRK003 is absent from equipment reference datasets
REC-00033,Environmental_Readings,32,34,ENV0033,Equipment_Nearby,Equipment reference not found,EX 001,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,EX 001 is absent from equipment reference datasets
REC-00034,Environmental_Readings,33,35,ENV0034,Equipment_Nearby,Equipment reference not found,EXC-02,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,EXC-02 is absent from equipment reference datasets
REC-00035,Environmental_Readings,34,36,ENV0035,Equipment_Nearby,Equipment reference not found,DRL001,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,DRL001 is absent from equipment reference datasets
REC-00036,Environmental_Readings,35,37,ENV0036,Equipment_Nearby,Equipment reference not found,truck01,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,truck01 is absent from equipment reference datasets
REC-00037,Environmental_Readings,36,38,ENV0037,Equipment_Nearby,Equipment reference not found,TRK002,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,TRK002 is absent from equipment reference datasets
REC-00038,Environmental_Readings,37,39,ENV0038,Equipment_Nearby,Equipment reference not found,truck03,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,truck03 is absent from equipment reference datasets
REC-00039,Environmental_Readings,38,40,ENV0039,Equipment_Nearby,Equipment reference not found,Excavator 1,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,Excavator 1 is absent from equipment reference datasets
REC-00040,Environmental_Readings,39,41,ENV0040,Equipment_Nearby,Equipment reference not found,EXC002,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,EXC002 is absent from equipment reference datasets
REC-00041,Environmental_Readings,40,42,ENV0041,Equipment_Nearby,Equipment reference not found,DRL001,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,DRL001 is absent from equipment reference datasets
REC-00042,Environmental_Readings,41,43,ENV0042,Equipment_Nearby,Equipment reference not found,truck01,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,truck01 is absent from equipment reference datasets
REC-00043,Environmental_Readings,42,44,ENV0043,Equipment_Nearby,Equipment reference not found,TRK002,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,TRK002 is absent from equipment reference datasets
REC-00044,Environmental_Readings,43,45,ENV0044,Equipment_Nearby,Equipment reference not found,Truck 3,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,Truck 3 is absent from equipment reference datasets
REC-00045,Environmental_Readings,44,46,ENV0045,Equipment_Nearby,Equipment reference not found,EXC-01,Equipment_Events; Shift_Performance; Maintenance_Notifications,,Equipment_Name,,Referential integrity,High,Confirm whether the equipment exists or correct the equipment identifier,REVIEW_REQUIRED,EXC-01 is absent from equipment reference datasets
REC-00046,Operator_Activities,0,2,ACT0001,Activity_Start|Activity_End,Activity overlaps recorded downtime,2026-07-01 11:00:00 -> 2026-07-01 15:00:00,Delays_Downtime,DLY0001,Start_Time|End_Time,2026-07-01 12:00:00 -> 2026-07-01 12:45:00,Equipment/event conflict,High,Confirm whether the activity or downtime interval is correct,REVIEW_REQUIRED,TRK-002 activity overlaps downtime record DLY0001
REC-00047,Operator_Activities,1,3,ACT0002,Activity_Start|Activity_End,Activity overlaps recorded downtime,2026-07-01 16:00:00 -> 2026-07-01 19:00:00,Delays_Downtime,DLY0002,Start_Time|End_Time,2026-07-01 18:00:00 -> 2026-07-01 18:30:00,Equipment/event conflict,High,Confirm whether the activity or downtime interval is correct,REVIEW_REQUIRED,TRK-003 activity overlaps downtime record DLY0002
REC-00048,Operator_Activities,34,36,ACT0035,Activity_Start|Activity_End,Activity overlaps recorded downtime,2026-07-08 13:00:00 -> 2026-07-08 15:00:00,Delays_Downtime,DLY0029,Start_Time|End_Time,2026-07-08 12:00:00 -> 2026-07-08 13:30:00,Equipment/event conflict,High,Confirm whether the activity or downtime interval is correct,REVIEW_REQUIRED,DRL-001 activity overlaps downtime record DLY0029
REC-00049,Operator_Activities,35,37,ACT0036,Activity_Start|Activity_End,Activity overlaps recorded downtime,2026-07-08 18:00:00 -> 2026-07-08 19:00:00,Delays_Downtime,DLY0030,Start_Time|End_Time,2026-07-08 18:00:00 -> 2026-07-08 19:00:00,Equipment/event conflict,High,Confirm whether the activity or downtime interval is correct,REVIEW_REQUIRED,TRK-001 activity overlaps downtime record DLY0030
REC-00050,Operator_Activities,36,38,ACT0037,Activity_Start|Activity_End,Activity overlaps recorded downtime,2026-07-08 23:00:00 -> 2026-07-09 01:00:00,Delays_Downtime,DLY0031,Start_Time|End_Time,2026-07-09 00:00:00 -> 2026-07-09 01:00:00,Equipment/event conflict,High,Confirm whether the activity or downtime interval is correct,REVIEW_REQUIRED,TRK-002 activity overlaps downtime record DLY0031
REC-00051,Operator_Activities,37,39,ACT0038,Activity_Start|Activity_End,Activity overlaps recorded downtime,2026-07-09 04:00:00 -> 2026-07-09 08:00:00,Delays_Downtime,DLY0032,Start_Time|End_Time,2026-07-09 06:00:00 -> 2026-07-09 06:15:00,Equipment/event conflict,High,Confirm whether the activity or downtime interval is correct,REVIEW_REQUIRED,TRK-003 activity overlaps downtime record DLY0032
REC-00052,Operator_Activities,38,40,ACT0039,Activity_Start|Activity_End,Activity overlaps recorded downtime,2026-07-09 09:00:00 -> 2026-07-09 12:00:00,Delays_Downtime,DLY0033,Start_Time|End_Time,2026-07-09 12:00:00 -> 2026-07-09 12:30:00,Equipment/event conflict,High,Confirm whether the activity or downtime interval is correct,REVIEW_REQUIRED,EXC-001 activity overlaps downtime record DLY0033
REC-00053,Operator_Activities,5,7,ACT0006,Activity_Start|Activity_End,Activity overlaps recorded maintenance,2026-07-02 12:00:00 -> 2026-07-02 13:00:00,Maintenance_Notifications,MNT0012,Actual_Start|Actual_End,2026-07-01 18:00:00 -> 2026-07-06 04:00:00,Equipment/event conflict,Critical,Confirm whether the equipment was available for operation during maintenance,REVIEW_REQUIRED,TRK-001 activity overlaps maintenance record MNT0012
REC-00054,Operator_Activities,9,11,ACT0010,Activity_Start|Activity_End,Activity overlaps recorded maintenance,2026-07-03 08:00:00 -> 2026-07-03 11:00:00,Maintenance_Notifications,MNT0004,Actual_Start|Actual_End,2026-07-03 10:00:00 -> 2026-07-03 14:00:00,Equipment/event conflict,Critical,Confirm whether the equipment was available for operation during maintenance,REVIEW_REQUIRED,EXC-002 activity overlaps maintenance record MNT0004
REC-00055,Operator_Activities,11,13,ACT0012,Activity_Start|Activity_End,Activity overlaps recorded maintenance,2026-07-03 18:00:00 -> 2026-07-03 20:00:00,Maintenance_Notifications,MNT0012,Actual_Start|Actual_End,2026-07-01 18:00:00 -> 2026-07-06 04:00:00,Equipment/event conflict,Critical,Confirm whether the equipment was available for operation during maintenance,REVIEW_REQUIRED,TRK-001 activity overlaps maintenance record MNT0012
REC-00056,Operator_Activities,17,19,ACT0018,Activity_Start|Activity_End,Activity overlaps recorded maintenance,2026-07-05 00:00:00 -> 2026-07-05 03:00:00,Maintenance_Notifications,MNT0012,Actual_Start|Actual_End,2026-07-01 18:00:00 -> 2026-07-06 04:00:00,Equipment/event conflict,Critical,Confirm whether the equipment was available for operation during maintenance,REVIEW_REQUIRED,TRK-001 activity overlaps maintenance record MNT0012
REC-00057,Operator_Activities,25,27,ACT0026,Activity_Start|Activity_End,Activity overlaps recorded maintenance,2026-07-06 16:00:00 -> 2026-07-06 20:00:00,Maintenance_Notifications,MNT0014,Actual_Start|Actual_End,2026-07-06 16:00:00 -> 2026-07-06 20:00:00,Equipment/event conflict,Critical,Confirm whether the equipment was available for operation during maintenance,REVIEW_REQUIRED,TRK-003 activity overlaps maintenance record MNT0014
REC-00058,Operator_Activities,26,28,ACT0027,Activity_Start|Activity_End,Activity overlaps recorded maintenance,2026-07-06 21:00:00 -> 2026-07-07 00:00:00,Maintenance_Notifications,MNT0015,Actual_Start|Actual_End,2026-07-06 15:00:00 -> 2026-07-06 23:00:00,Equipment/event conflict,Critical,Confirm whether the equipment was available for operation during maintenance,REVIEW_REQUIRED,EXC-001 activity overlaps maintenance record MNT0015
REC-00059,Operator_Activities,27,29,ACT0028,Activity_Start|Activity_End,Activity overlaps recorded maintenance,2026-07-07 02:00:00 -> 2026-07-07 06:00:00,Maintenance_Notifications,MNT0016,Actual_Start|Actual_End,2026-07-06 20:00:00 -> 2026-07-07 04:00:00,Equipment/event conflict,Critical,Confirm whether the equipment was available for operation during maintenance,REVIEW_REQUIRED,EXC-002 activity overlaps maintenance record MNT0016
REC-00060,Operator_Activities,29,31,ACT0030,Activity_Start|Activity_End,Activity overlaps recorded maintenance,2026-07-07 12:00:00 -> 2026-07-07 15:00:00,Maintenance_Notifications,MNT0018,Actual_Start|Actual_End,2026-07-07 12:00:00 -> 2026-07-07 14:00:00,Equipment/event conflict,Critical,Confirm whether the equipment was available for operation during maintenance,REVIEW_REQUIRED,TRK-001 activity overlaps maintenance record MNT0018
REC-00061,Operator_Activities,30,32,ACT0031,Activity_Start|Activity_End,Activity overlaps recorded maintenance,2026-07-07 17:00:00 -> 2026-07-07 21:00:00,Maintenance_Notifications,MNT0019,Actual_Start|Actual_End,2026-07-07 19:00:00 -> 2026-07-07 23:00:00,Equipment/event conflict,Critical,Confirm whether the equipment was available for operation during maintenance,REVIEW_REQUIRED,TRK-002 activity overlaps maintenance record MNT0019
REC-00062,Access_Control,37,39,ACC0038,Access_Result,Denied access during recorded activity,Denied,Operator_Activities,ACT0030,Activity_Start|Activity_End,2026-07-07 12:00:00 -> 2026-07-07 15:00:00,Operator/activity conflict,High,Confirm whether the access denial or activity record is correct,REVIEW_REQUIRED,OP1007 has denied access during activity ACT0030
REC-00063,Access_Control,38,40,ACC0039,Access_Result,Denied access during recorded activity,Denied,Operator_Activities,ACT0031,Activity_Start|Activity_End,2026-07-07 17:00:00 -> 2026-07-07 21:00:00,Operator/activity conflict,High,Confirm whether the access denial or activity record is correct,REVIEW_REQUIRED,OP1008 has denied access during activity ACT0031
